Fecha,Tipo,Promedio de Valor
2024-06-06,Real,433.065273
2024-06-07,Real,410.257325
2024-06-16,Real,404.564491
2024-06-21,Real,393.52752
2025-05-12,Real,340.955107
2025-03-15,Real,333.75107
2025-05-11,Real,332.184959
2024-06-17,Real,299.19
2024-06-08,Real,292.547453
2024-07-07,Real,278.323355
2025-05-30,Predicción,269.17561070614727
2025-05-25,Real,268.160627
2024-07-03,Real,266.318632
2024-05-08,Real,265.945612
2025-03-14,Real,262.097551
2025-03-13,Real,257.897697
2025-02-21,Real,257.452289
2025-03-11,Real,251.864955
2025-05-26,Real,247.409717
2024-05-05,Real,237.746326
2025-01-29,Real,237.634694
2025-03-10,Real,235.643281
2025-05-13,Real,235.445317
2024-09-30,Real,234.474297
2024-06-09,Real,232.86596
2024-07-06,Real,232.761022
2025-05-24,Real,230.570858
2024-06-25,Real,229.540155
2024-08-24,Real,225.640406
2024-06-18,Real,214.180949
2024-06-19,Real,212.611204
2024-07-13,Real,212.165037
2024-02-17,Real,210.8337
2024-06-22,Real,209.672501
2025-03-16,Real,205.977938
2024-06-05,Real,205.03553
2025-05-21,Real,202.750735
2024-01-17,Real,199.65681
2025-01-25,Real,194.821184
2024-01-18,Real,194.693671
2025-05-18,Real,194.240519
2023-07-18,Real,191.75502600000002
2024-07-18,Real,190.390748
2025-06-03,Predicción,189.8937915443051
2025-03-17,Real,188.850102
2025-06-04,Predicción,188.11023389094908
2024-12-15,Real,188.075731
2025-06-05,Predicción,187.47925430703765
2025-06-07,Predicción,186.25312610593872
2025-06-09,Predicción,185.82076875370655
2025-03-06,Real,185.102875
2024-08-16,Real,184.936327
2025-06-13,Predicción,184.7938012318699
2024-06-11,Real,184.743435
2025-06-17,Predicción,183.87076168599694
2025-06-08,Predicción,183.80314135551097
2025-06-21,Predicción,183.6525020864961
2025-06-18,Predicción,183.6357291589809
2025-06-23,Predicción,183.63071583755408
2025-06-27,Predicción,183.6069820326098
2025-06-19,Predicción,183.59609037490685
2025-06-22,Predicción,183.59291641858007
2025-07-01,Predicción,183.59288224504087
2025-07-05,Predicción,183.5867285028876
2025-07-07,Predicción,183.58556066027535
2025-06-26,Predicción,183.58553718753544
2025-07-11,Predicción,183.58530223499434
2025-07-06,Predicción,183.5851125362195
2025-07-09,Predicción,183.5850936646116
2025-07-15,Predicción,183.58506605214245
2025-07-10,Predicción,183.58494720077195
2025-07-19,Predicción,183.58493306811903
2025-07-23,Predicción,183.58489207395718
2025-07-21,Predicción,183.5848902004976
2025-07-25,Predicción,183.5848901858285
2025-07-29,Predicción,183.58488650667562
2025-07-24,Predicción,183.58488444592842
2025-07-20,Predicción,183.58488396620277
2025-08-02,Predicción,183.5848839601511
2025-07-27,Predicción,183.58488301203525
2025-08-06,Predicción,183.58488298659927
2025-08-08,Predicción,183.58488280761506
2025-08-12,Predicción,183.58488276247266
2025-08-04,Predicción,183.58488273311417
2025-08-10,Predicción,183.58488272400476
2025-08-16,Predicción,183.58488271771407
2025-08-07,Predicción,183.5848827161274
2025-08-20,Predicción,183.58488269649638
2025-08-22,Predicción,183.58488268986974
2025-08-24,Predicción,183.5848826897368
2025-08-26,Predicción,183.58488268958908
2025-08-30,Predicción,183.58488268887905
2025-09-03,Predicción,183.58488268845443
2025-08-25,Predicción,183.58488268836703
2025-08-28,Predicción,183.58488268833918
2025-09-07,Predicción,183.58488268829458
2025-09-09,Predicción,183.58488268826918
2025-09-05,Predicción,183.58488268826426
2025-09-13,Predicción,183.58488268825965
2025-09-11,Predicción,183.58488268825326
2025-09-17,Predicción,183.58488268825178
2025-09-08,Predicción,183.5848826882485
2025-09-21,Predicción,183.5848826882485
2025-09-23,Predicción,183.58488268824738
2025-09-25,Predicción,183.58488268824738
2025-09-27,Predicción,183.58488268824738
2025-09-19,Predicción,183.5848826882472
2025-10-01,Predicción,183.5848826882472
2025-09-15,Predicción,183.58488268824703
2025-09-22,Predicción,183.58488268824703
2025-09-26,Predicción,183.58488268824703
2025-09-29,Predicción,183.58488268824703
2025-09-30,Predicción,183.58488268824703
2025-10-02,Predicción,183.58488268824703
2025-10-03,Predicción,183.58488268824703
2025-10-04,Predicción,183.58488268824703
2025-10-05,Predicción,183.58488268824703
2025-10-06,Predicción,183.58488268824703
2025-10-07,Predicción,183.58488268824703
2025-10-08,Predicción,183.58488268824703
2025-10-09,Predicción,183.58488268824703
2025-10-10,Predicción,183.58488268824703
2025-10-11,Predicción,183.58488268824703
2025-10-12,Predicción,183.58488268824703
2025-10-13,Predicción,183.58488268824703
2025-10-14,Predicción,183.58488268824703
2025-10-15,Predicción,183.58488268824703
2025-10-16,Predicción,183.58488268824703
2025-10-17,Predicción,183.58488268824703
2025-10-18,Predicción,183.58488268824703
2025-10-19,Predicción,183.58488268824703
2025-10-20,Predicción,183.58488268824703
2025-10-21,Predicción,183.58488268824703
2025-10-22,Predicción,183.58488268824703
2025-10-23,Predicción,183.58488268824703
2025-10-24,Predicción,183.58488268824703
2025-10-25,Predicción,183.58488268824703
2025-10-26,Predicción,183.58488268824703
2025-10-27,Predicción,183.58488268824703
2025-10-28,Predicción,183.58488268824703
2025-10-29,Predicción,183.58488268824703
2025-10-30,Predicción,183.58488268824703
2025-10-31,Predicción,183.58488268824703
2025-11-01,Predicción,183.58488268824703
2025-11-02,Predicción,183.58488268824703
2025-11-03,Predicción,183.58488268824703
2025-11-04,Predicción,183.58488268824703
2025-11-05,Predicción,183.58488268824703
2025-11-06,Predicción,183.58488268824703
2025-11-07,Predicción,183.58488268824703
2025-11-08,Predicción,183.58488268824703
2025-11-09,Predicción,183.58488268824703
2025-11-10,Predicción,183.58488268824703
2025-11-11,Predicción,183.58488268824703
2025-11-12,Predicción,183.58488268824703
2025-11-13,Predicción,183.58488268824703
2025-11-14,Predicción,183.58488268824703
2025-11-15,Predicción,183.58488268824703
2025-11-16,Predicción,183.58488268824703
2025-11-17,Predicción,183.58488268824703
2025-11-18,Predicción,183.58488268824703
2025-11-19,Predicción,183.58488268824703
2025-11-20,Predicción,183.58488268824703
2025-11-21,Predicción,183.58488268824703
2025-11-22,Predicción,183.58488268824703
2025-11-23,Predicción,183.58488268824703
2025-11-24,Predicción,183.58488268824703
2025-11-25,Predicción,183.58488268824703
2025-11-26,Predicción,183.58488268824703
2025-11-27,Predicción,183.58488268824703
2025-11-28,Predicción,183.58488268824703
2025-11-29,Predicción,183.58488268824703
2025-11-30,Predicción,183.58488268824703
2025-12-01,Predicción,183.58488268824703
2025-12-02,Predicción,183.58488268824703
2025-12-03,Predicción,183.58488268824703
2025-12-04,Predicción,183.58488268824703
